include,id,observed_on_string,observed_on,time_observed_at,date,time,tz,time_zone,user_id,user_login,
,41419051,Sat Apr 04 2020 10:22:09 GMT-0700 (PDT),2020-04-04,2020-04-04 17:22:09 UTC,2020-04-04,5:22:09 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419020,Sat Apr 04 2020 10:26:44 GMT-0700 (PDT),2020-04-04,2020-04-04 17:26:44 UTC,2020-04-04,5:26:44 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41418989,Sat Apr 04 2020 10:29:04 GMT-0700 (PDT),2020-04-04,2020-04-04 17:29:04 UTC,2020-04-04,5:29:04 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41418926,Sat Apr 04 2020 10:30:45 GMT-0700 (PDT),2020-04-04,2020-04-04 17:30:45 UTC,2020-04-04,5:30:45 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41418862,Sat Apr 04 2020 10:42:59 GMT-0700 (PDT),2020-04-04,2020-04-04 17:42:59 UTC,2020-04-04,5:42:59 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41418833,Sat Apr 04 2020 10:50:24 GMT-0700 (PDT),2020-04-04,2020-04-04 17:50:24 UTC,2020-04-04,5:50:24 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41418813,Sat Apr 04 2020 11:43:24 GMT-0700 (PDT),2020-04-04,2020-04-04 18:43:24 UTC,2020-04-04,6:43:24 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41418761,Sat Apr 04 2020 11:43:51 GMT-0700 (PDT),2020-04-04,2020-04-04 18:43:51 UTC,2020-04-04,6:43:51 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41418731,Sat Apr 04 2020 12:07:01 GMT-0700 (PDT),2020-04-04,2020-04-04 19:07:01 UTC,2020-04-04,7:07:01 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41418558,Sat Apr 04 2020 12:45:59 GMT-0700 (PDT),2020-04-04,2020-04-04 19:45:59 UTC,2020-04-04,7:45:59 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
